circuit,seed,grid_w,grid_h,block_type,x,y,x_norm,y_norm,dist_to_center_norm,dist_to_edge_norm,source
custom_macbuf,7,12,12,DSP,5,4,0.4166666666666667,0.3333333333333333,0.3748277841470601,0.6,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,7,12,12,DSP,1,8,0.08333333333333333,0.6666666666666666,0.7329325225725954,0.0,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,7,12,12,DSP,2,3,0.16666666666666666,0.25,0.7329325225725954,0.2,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,7,12,12,BRAM,6,4,0.5,0.3333333333333333,0.32777738867854445,0.6,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,42,12,12,DSP,3,6,0.25,0.5,0.4545454545454546,0.4,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,42,12,12,DSP,2,6,0.16666666666666666,0.5,0.5821022034029864,0.2,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,42,12,12,DSP,6,4,0.5,0.3333333333333333,0.32777738867854445,0.6,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,42,12,12,BRAM,7,2,0.5833333333333334,0.16666666666666666,0.5821022034029864,0.2,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,123,12,12,DSP,2,3,0.16666666666666666,0.25,0.7329325225725954,0.2,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,123,12,12,DSP,6,3,0.5,0.25,0.4545454545454546,0.4,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,123,12,12,DSP,3,4,0.25,0.3333333333333333,0.5529784118452927,0.4,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
custom_macbuf,123,12,12,BRAM,5,4,0.4166666666666667,0.3333333333333333,0.3748277841470601,0.6,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,19,12,0.3958333333333333,0.25,0.4109193173580418,0.4782608695652174,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,17,15,0.3541666666666667,0.3125,0.3641966546515679,0.6086956521739131,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,1,9,0.020833333333333332,0.1875,0.8470650739316758,0.0,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,14,14,0.2916666666666667,0.2916666666666667,0.44680851063829785,0.5652173913043478,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,7,16,0.14583333333333334,0.3333333333333333,0.5853964464764938,0.2608695652173913,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,15,11,0.3125,0.22916666666666666,0.4967071289331384,0.43478260869565216,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,13,14,0.2708333333333333,0.2916666666666667,0.4685684158626647,0.5217391304347826,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,11,17,0.22916666666666666,0.3541666666666667,0.4646878652732246,0.43478260869565216,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,10,14,0.20833333333333334,0.2916666666666667,0.5386803787732836,0.391304347826087,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,7,10,0.14583333333333334,0.20833333333333334,0.6838365395739658,0.2608695652173913,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,22,17,0.4583333333333333,0.3541666666666667,0.2378795720744457,0.6956521739130435,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,2,18,0.041666666666666664,0.375,0.7047019217735828,0.043478260869565216,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,18,19,0.375,0.3958333333333333,0.2562041399743042,0.7391304347826086,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,9,18,0.1875,0.375,0.5057389074044558,0.34782608695652173,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,21,6,0.4375,0.125,0.5665330619444404,0.21739130434782608,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,12,5,0.25,0.10416666666666667,0.6969506108152852,0.17391304347826086,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,17,1,0.3541666666666667,0.020833333333333332,0.7422452571281877,0.0,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,22,5,0.4583333333333333,0.10416666666666667,0.5915505861471424,0.17391304347826086,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,13,3,0.2708333333333333,0.0625,0.7336570063645391,0.08695652173913043,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,6,18,0.125,0.375,0.5900180691005127,0.21739130434782608,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,9,4,0.1875,0.08333333333333333,0.7733098657611169,0.13043478260869565,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,12,14,0.25,0.2916666666666667,0.4912083566219233,0.4782608695652174,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,4,12,0.08333333333333333,0.25,0.7224649721850913,0.13043478260869565,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,5,15,0.10416666666666667,0.3125,0.6526749638373603,0.17391304347826086,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
mkDelayWorker32B,7,48,48,BRAM,20,4,0.4166666666666667,0.08333333333333333,0.6315243438151417,0.13043478260869565,data_export/logs/det_actions_and_timing.json decoded through FPGAEnv (no VTR); core grid from baselines/*_resources.txt
